shipment_id,inspection_status,defect_type
1,Pass,Damaged Item
2,Pass,None
3,Pass,Damaged Item
4,Pass,Packaging
5,Pass,None
6,Pass,Damaged Item
7,Pass,Damaged Item
8,Pass,Late Arrival
9,Pass,Late Arrival
10,Pass,Damaged Item
11,Pass,Packaging
12,Pass,Damaged Item
13,Pass,Late Arrival
14,Pass,Packaging
15,Pass,None
16,Pass,Damaged Item
17,Pass,Damaged Item
18,Pass,Late Arrival
19,Pass,Damaged Item
20,Pass,Damaged Item
21,Pass,Packaging
22,Pass,None
23,Pass,Packaging
24,Pass,Packaging
25,Pass,Late Arrival
26,Pass,None
27,Pass,Packaging
28,Pass,Late Arrival
29,Pass,Packaging
30,Pass,Packaging
31,Pass,Late Arrival
32,Pass,None
33,Pass,Late Arrival
34,Pass,Damaged Item
35,Pass,Damaged Item
36,Pass,None
37,Fail,Packaging
38,Pass,None
39,Pass,Packaging
40,Pass,Packaging
41,Pass,Late Arrival
42,Pass,Damaged Item
43,Pass,None
44,Pass,Late Arrival
45,Pass,Late Arrival
46,Pass,Packaging
47,Pass,Late Arrival
48,Pass,Late Arrival
49,Pass,Late Arrival
50,Pass,Late Arrival
51,Pass,Damaged Item
52,Pass,Packaging
53,Pass,Damaged Item
54,Pass,Late Arrival
55,Pass,Damaged Item
56,Pass,Packaging
57,Pass,None
58,Pass,Packaging
59,Pass,None
60,Pass,None
61,Pass,None
62,Pass,Packaging
63,Pass,Late Arrival
64,Pass,Packaging
65,Pass,Packaging
66,Pass,Late Arrival
67,Pass,Damaged Item
68,Pass,Packaging
69,Pass,Damaged Item
70,Pass,Damaged Item
71,Pass,None
72,Pass,None
73,Pass,Packaging
74,Pass,None
75,Pass,Damaged Item
76,Pass,None
77,Pass,Damaged Item
78,Pass,None
79,Pass,Late Arrival
80,Pass,Damaged Item
81,Pass,Packaging
82,Pass,Late Arrival
83,Pass,None
84,Pass,Late Arrival
85,Pass,Packaging
86,Fail,None
87,Pass,None
88,Fail,Packaging
89,Pass,Late Arrival
90,Pass,None
91,Pass,Damaged Item
92,Pass,Packaging
93,Pass,None
94,Pass,None
95,Pass,Late Arrival
96,Pass,None
97,Pass,Late Arrival
98,Pass,Late Arrival
99,Pass,Damaged Item
100,Pass,Packaging
101,Pass,Late Arrival
102,Pass,Packaging
103,Pass,Packaging
104,Pass,Packaging
105,Pass,Late Arrival
106,Pass,None
107,Pass,Damaged Item
108,Pass,None
109,Pass,Late Arrival
110,Pass,Damaged Item
111,Pass,Late Arrival
112,Pass,Packaging
113,Pass,Packaging
114,Pass,Late Arrival
115,Pass,Late Arrival
116,Pass,None
117,Pass,Packaging
118,Pass,None
119,Pass,Late Arrival
120,Pass,Late Arrival
121,Pass,Damaged Item
122,Pass,Damaged Item
123,Pass,None
124,Pass,Packaging
125,Pass,Late Arrival
126,Pass,Late Arrival
127,Pass,Damaged Item
128,Pass,None
129,Pass,Damaged Item
130,Pass,Late Arrival
131,Pass,Late Arrival
132,Pass,Packaging
133,Pass,None
134,Pass,Damaged Item
135,Pass,Packaging
136,Pass,Late Arrival
137,Pass,Packaging
138,Pass,Late Arrival
139,Pass,Damaged Item
140,Pass,Damaged Item
141,Pass,None
142,Pass,Late Arrival
143,Pass,Damaged Item
144,Pass,Late Arrival
145,Pass,Damaged Item
146,Pass,Packaging
147,Pass,Damaged Item
148,Pass,Packaging
149,Pass,Packaging
150,Pass,Packaging
151,Pass,None
152,Pass,None
153,Pass,Late Arrival
154,Pass,Damaged Item
155,Pass,Damaged Item
156,Pass,Packaging
157,Pass,None
158,Pass,Late Arrival
159,Pass,Late Arrival
160,Pass,Damaged Item
161,Pass,None
162,Pass,Damaged Item
163,Pass,None
164,Pass,Late Arrival
165,Pass,None
166,Pass,Damaged Item
167,Fail,None
168,Pass,Packaging
169,Pass,Packaging
170,Pass,Damaged Item
171,Pass,None
172,Pass,None
173,Pass,Late Arrival
174,Pass,Packaging
175,Pass,None
176,Pass,Damaged Item
177,Pass,Packaging
178,Pass,None
179,Fail,Damaged Item
180,Pass,None
181,Pass,Damaged Item
182,Pass,Packaging
183,Pass,None
184,Fail,Damaged Item
185,Fail,None
186,Pass,Damaged Item
187,Pass,None
188,Pass,None
189,Pass,Packaging
190,Pass,Packaging
191,Pass,None
192,Pass,None
193,Pass,Late Arrival
194,Pass,Packaging
195,Pass,None
196,Pass,Damaged Item
197,Pass,Packaging
198,Pass,Packaging
199,Pass,Packaging
200,Pass,Damaged Item
201,Pass,None
202,Pass,None
203,Pass,Late Arrival
204,Pass,Packaging
205,Pass,Damaged Item
206,Pass,Damaged Item
207,Pass,Damaged Item
208,Pass,None
209,Pass,Damaged Item
210,Pass,Packaging
211,Pass,Late Arrival
212,Pass,Damaged Item
213,Pass,None
214,Pass,Late Arrival
215,Pass,Late Arrival
216,Pass,Damaged Item
217,Pass,Late Arrival
218,Pass,Damaged Item
219,Pass,Packaging
220,Pass,None
221,Pass,Damaged Item
222,Pass,Damaged Item
223,Pass,Late Arrival
224,Pass,Damaged Item
225,Pass,Damaged Item
226,Fail,Damaged Item
227,Pass,None
228,Pass,None
229,Pass,Damaged Item
230,Pass,None
231,Pass,Damaged Item
232,Pass,Packaging
233,Pass,Late Arrival
234,Pass,None
235,Pass,None
236,Pass,None
237,Pass,Late Arrival
238,Pass,Damaged Item
239,Pass,Packaging
240,Pass,Packaging
241,Pass,Packaging
242,Pass,None
243,Pass,None
244,Pass,Damaged Item
245,Pass,Late Arrival
246,Pass,None
247,Pass,Damaged Item
248,Pass,Packaging
249,Pass,None
250,Pass,None
251,Pass,None
252,Pass,Damaged Item
253,Pass,Packaging
254,Pass,Late Arrival
255,Pass,Packaging
256,Pass,Late Arrival
257,Pass,Damaged Item
258,Pass,Late Arrival
259,Pass,Packaging
260,Pass,Late Arrival
261,Pass,Packaging
262,Pass,Late Arrival
263,Pass,Late Arrival
264,Pass,Late Arrival
265,Pass,Late Arrival
266,Pass,Damaged Item
267,Pass,Late Arrival
268,Pass,Late Arrival
269,Pass,Late Arrival
270,Pass,Damaged Item
271,Pass,None
272,Pass,None
273,Pass,Damaged Item
274,Pass,Damaged Item
275,Pass,Packaging
276,Fail,Late Arrival
277,Pass,Late Arrival
278,Pass,Damaged Item
279,Pass,Packaging
280,Pass,Packaging
281,Pass,None
282,Pass,Packaging
283,Pass,Packaging
284,Pass,None
285,Pass,Late Arrival
286,Pass,Late Arrival
287,Pass,Damaged Item
288,Pass,None
289,Pass,Late Arrival
290,Pass,Packaging
291,Pass,Damaged Item
292,Pass,Damaged Item
293,Pass,Packaging
294,Pass,Damaged Item
295,Fail,None
296,Pass,Packaging
297,Pass,Packaging
298,Fail,Late Arrival
299,Pass,None
300,Pass,Packaging
301,Pass,Late Arrival
302,Pass,Packaging
303,Fail,Packaging
304,Pass,None
305,Pass,Late Arrival
306,Pass,Late Arrival
307,Pass,Damaged Item
308,Pass,None
309,Pass,Late Arrival
310,Pass,Damaged Item
311,Pass,Packaging
312,Fail,Damaged Item
313,Pass,Late Arrival
314,Pass,Late Arrival
315,Pass,Late Arrival
316,Pass,Damaged Item
317,Pass,None
318,Pass,Late Arrival
319,Pass,Damaged Item
320,Pass,Packaging
321,Pass,None
322,Pass,Damaged Item
323,Pass,Damaged Item
324,Pass,None
325,Pass,None
326,Fail,None
327,Pass,None
328,Pass,Damaged Item
329,Pass,Late Arrival
330,Pass,None
331,Pass,Packaging
332,Pass,Late Arrival
333,Pass,None
334,Pass,Damaged Item
335,Pass,None
336,Pass,Damaged Item
337,Pass,Damaged Item
338,Pass,None
339,Pass,None
340,Pass,Packaging
341,Pass,Packaging
342,Pass,None
343,Pass,Late Arrival
344,Pass,Damaged Item
345,Pass,Packaging
346,Pass,Packaging
347,Pass,Packaging
348,Pass,Packaging
349,Pass,None
350,Pass,Late Arrival
351,Pass,None
352,Pass,None
353,Pass,None
354,Pass,Late Arrival
355,Pass,Damaged Item
356,Pass,Damaged Item
357,Pass,Late Arrival
358,Pass,Packaging
359,Pass,Packaging
360,Pass,None
361,Pass,Late Arrival
362,Pass,Packaging
363,Pass,None
364,Pass,Packaging
365,Pass,Damaged Item
366,Pass,Packaging
367,Pass,None
368,Pass,Packaging
369,Pass,Packaging
370,Pass,None
371,Pass,Packaging
372,Pass,Packaging
373,Pass,None
374,Pass,Late Arrival
375,Pass,None
376,Pass,None
377,Pass,Late Arrival
378,Pass,Late Arrival
379,Pass,None
380,Pass,Packaging
381,Pass,Packaging
382,Fail,Damaged Item
383,Pass,Packaging
384,Pass,Damaged Item
385,Pass,None
386,Pass,Late Arrival
387,Pass,Late Arrival
388,Pass,Damaged Item
389,Pass,None
390,Pass,Damaged Item
391,Pass,Late Arrival
392,Pass,Packaging
393,Pass,Packaging
394,Pass,Damaged Item
395,Pass,Packaging
396,Pass,Late Arrival
397,Pass,Late Arrival
398,Pass,Packaging
399,Pass,None
400,Pass,Damaged Item
401,Pass,Damaged Item
402,Pass,None
403,Pass,Damaged Item
404,Pass,Packaging
405,Pass,Packaging
406,Pass,Damaged Item
407,Pass,Damaged Item
408,Pass,Late Arrival
409,Pass,None
410,Pass,Damaged Item
411,Pass,None
412,Pass,Late Arrival
413,Pass,Packaging
414,Pass,Packaging
415,Pass,Packaging
416,Pass,Damaged Item
417,Pass,Damaged Item
418,Pass,Packaging
419,Pass,Packaging
420,Pass,Late Arrival
421,Fail,None
422,Pass,Damaged Item
423,Fail,Packaging
424,Pass,Packaging
425,Pass,Damaged Item
426,Pass,Damaged Item
427,Pass,Damaged Item
428,Pass,Late Arrival
429,Pass,Packaging
430,Pass,Late Arrival
431,Pass,None
432,Pass,Damaged Item
433,Pass,Damaged Item
434,Pass,None
435,Pass,None
436,Pass,Packaging
437,Pass,Damaged Item
438,Pass,None
439,Pass,Late Arrival
440,Pass,None
441,Pass,None
442,Pass,None
443,Pass,Packaging
444,Pass,Late Arrival
445,Pass,None
446,Pass,Late Arrival
447,Pass,Packaging
448,Fail,None
449,Pass,Damaged Item
450,Pass,None
451,Pass,Damaged Item
452,Pass,Damaged Item
453,Pass,None
454,Pass,Damaged Item
455,Pass,Late Arrival
456,Pass,Damaged Item
457,Pass,None
458,Pass,Late Arrival
459,Pass,Packaging
460,Pass,None
461,Pass,None
462,Pass,Packaging
463,Pass,None
464,Pass,Late Arrival
